id,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
49,36.2443931959569,-80.0703459698707,0,2021-02-11T23:08:04Z,,,08-046,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
50,36.2439223006368,-80.0690924562514,0,2021-02-11T23:08:04Z,,,08-047,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
51,36.242213062942,-80.0644794758409,0,2021-02-11T23:08:04Z,,,08-048,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
52,36.2420663796365,-80.0622513145208,0,2021-02-11T23:08:04Z,,,08-049,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
53,36.2413000222296,-80.0634293071926,0,2021-02-11T23:08:04Z,,,08-049T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
54,36.2408984452486,-80.0574930757284,0,2021-02-11T23:08:04Z,,,08-050,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
55,36.2277251947671,-80.0540497899056,0,2021-02-11T23:08:04Z,,,08-051,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
56,36.2177612073719,-80.0573634915054,0,2021-02-11T23:08:04Z,,,08-052,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
57,36.2040454801172,-80.0577073171735,0,2021-02-11T23:08:04Z,,,08-053,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
58,36.195122692734,-80.0372468400747,0,2021-02-11T23:08:04Z,,,08-054,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
59,36.1947900149971,-80.0308999791741,0,2021-02-11T23:08:04Z,,,08-055,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
60,36.1949340160936,-80.0307959597558,0,2021-02-11T23:08:04Z,,,08-055T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
61,36.1949500255287,-80.0313400290906,0,2021-02-11T23:08:04Z,,,08-056,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
62,36.1947709880769,-80.0321659818292,0,2021-02-11T23:08:04Z,,,08-057,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
63,36.1914420314133,-80.0334859639406,0,2021-02-11T23:08:04Z,,,08-058,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
64,36.1906885821372,-80.0330061838031,0,2021-02-11T23:08:04Z,,,08-059,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
65,36.1908559687436,-80.0344089791179,0,2021-02-11T23:08:04Z,,,08-060,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
66,36.1896764673293,-80.0357458088547,0,2021-02-11T23:08:04Z,,,08-061,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
67,36.1891619861126,-80.0347890146077,0,2021-02-11T23:08:04Z,,,08-062,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
68,36.1876959912479,-80.0327340234071,0,2021-02-11T23:08:04Z,,,08-063,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
69,36.1877900362015,-80.0325300078839,0,2021-02-11T23:08:04Z,,,08-064,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
70,36.1888999678195,-80.0312619935721,0,2021-02-11T23:08:04Z,,,08-065,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
71,36.1896764673293,-80.0357458088547,0,2021-02-11T23:08:04Z,,,08-066,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
72,36.1906885821372,-80.0330061838031,0,2021-02-11T23:08:04Z,,,08-067,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
73,36.1947900149971,-80.0308999791741,0,2021-02-11T23:08:04Z,,,08-068,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
74,36.188097987324,-80.0315193179995,0,2021-02-11T23:08:04Z,,,08-069,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
75,36.1874740384519,-80.0299140159041,0,2021-02-11T23:08:04Z,,,08-070,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
76,36.186922006309,-80.0299249961972,0,2021-02-11T23:08:04Z,,,08-071,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
77,36.1839099694043,-80.0280000083149,0,2021-02-11T23:08:04Z,,,08-072,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
78,36.1837935447693,-80.0280833244324,0,2021-02-11T23:08:04Z,,,08-073,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
79,36.1796217877418,-80.0252698548138,0,2021-02-11T23:08:04Z,,,08-074,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
80,36.1817437503487,-80.0220152456313,0,2021-02-11T23:08:04Z,,,08-075,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
81,36.18129003793,-80.0159100349993,0,2021-02-11T23:08:04Z,,,08-076,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
82,36.1811400018632,-80.0151600223035,0,2021-02-11T23:08:04Z,,,08-077,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
83,36.1785700265318,-80.0139999669045,0,2021-02-11T23:08:04Z,,,08-078,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
84,36.1785700265318,-80.013330001384,0,2021-02-11T23:08:04Z,,,08-079,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
